iter	Passed	Remaining
175	10589	19493
176	10653	19440
177	10710	19375
178	10777	19328
179	10828	19251
180	10900	19211
181	10956	19144
182	11042	19127
183	11116	19091
184	11199	19068
185	11225	18950
186	11333	18969
187	11424	18959
188	11520	18956
189	11591	18911
190	11658	18861
191	11759	18863
192	11843	18839
193	11924	18809
194	11982	18741
195	12052	18693
196	12125	18649
197	12192	18596
198	12260	18544
199	12324	18486
200	12385	18424
201	12448	18364
202	12510	18303
203	12565	18231
204	12618	18158
205	12674	18088
206	12734	18025
207	12794	17962
208	12853	17896
209	12910	17828
210	12993	17796
211	13073	17760
212	13151	17720
213	13213	17659
214	13266	17586
215	13323	17517
216	13391	17464
217	13459	17411
218	13514	17340
219	13563	17262
220	13625	17202
221	13686	17139
222	13744	17072
223	13803	17008
224	13873	16956
225	13931	16890
226	13985	16820
227	14064	16778
228	14133	16725
229	14223	16697
230	14310	16664
231	14389	16622
232	14482	16595
233	14572	16564
234	14657	16528
235	14728	16476
236	14802	16426
237	14859	16358
238	14906	16278
239	14952	16198
240	15008	16129
241	15087	16085
242	15155	16028
243	15238	15987
244	15310	15935
245	15367	15867
246	15423	15798
247	15489	15739
248	15550	15675
249	15633	15633
250	15692	15567
251	15760	15510
252	15821	15446
253	15880	15380
254	15925	15300
255	15975	15226
256	16033	15160
257	16098	15099
258	16163	15040
259	16219	14971
260	16279	14906
261	16332	14836
262	16390	14769
263	16452	14707
264	16512	14643
265	16569	14576
266	16627	14509
267	16691	14449
268	16746	14380
269	16815	14323
270	16869	14255
271	16932	14193
272	16989	14126
273	17046	14060
274	17106	13996
275	17178	13941
276	17237	13877
277	17292	13809
278	17346	13740
279	17421	13688
280	17476	13620
281	17544	13563
282	17601	13496
283	17657	13429
284	17713	13363
285	17767	13294
286	17825	13229
287	17875	13158
288	17936	13095
289	17994	13030
290	18053	12966
291	18113	12903
292	18188	12849
293	18245	12784
294	18304	12720
295	18361	12654
296	18422	12591
297	18490	12533
298	18546	12467
299	18603	12402
300	18660	12337
301	18726	12277
302	18785	12213
303	18843	12149
304	18897	12082
305	18951	12014
306	19006	11948
307	19061	11882
308	19114	11815
309	19188	11760
310	19252	11700
311	19307	11633
312	19395	11587
313	19453	11523
314	19511	11458
315	19567	11393
316	19630	11332
317	19688	11268
318	19742	11201
319	19788	11131
320	19850	11069
321	19919	11011
322	19977	10947
323	20034	10882
324	20116	10832
325	20180	10771
326	20234	10705
327	20296	10643
328	20352	10578
329	20418	10518
330	20514	10474
331	20597	10422
332	20677	10369
333	20748	10311
334	20808	10248
335	20869	10186
336	20926	10121
337	20986	10058
338	21035	9990
339	21089	9924
340	21153	9863
341	21215	9801
342	21270	9735
343	21347	9681
344	21408	9618
345	21498	9568
346	21575	9513
347	21647	9455
348	21717	9396
349	21778	9333
350	21842	9272
351	21908	9211
352	21960	9145
353	22021	9082
354	22090	9022
355	22151	8960
356	22210	8896
357	22270	8833
358	22363	8783
359	22428	8722
360	22507	8666
361	22578	8607
362	22644	8546
363	22719	8488
364	22776	8424
365	22833	8359
366	22902	8299
367	22969	8238
368	23030	8176
369	23087	8111
370	23147	8048
371	23205	7984
372	23269	7922
373	23348	7866
374	23426	7808
375	23498	7749
376	23555	7685
377	23618	7623
378	23687	7562
379	23742	7497
380	23787	7429
381	23862	7371
382	23926	7309
383	23990	7247
384	24050	7183
385	24113	7121
386	24175	7059
387	24237	6996
388	24314	6938
389	24375	6875
390	24435	6812
391	24502	6750
392	24561	6687
393	24621	6623
394	24687	6562
395	24738	6496
396	24789	6431
397	24846	6367
398	24908	6305
399	24973	6243
